"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5891","TC-12: a product added from its detail page appears in the cart","Mobile Safari","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","5562","TC-07: the catalog lists products and one opens its detail page","Mobile Safari","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","4818","TC-19: a product review can be submitted from the detail page","WebKit","2026-09-08","passed","2026-09-08","Engagement","Engagement","",""
"","5784","TC-14: the quantity set before adding is the quantity in the cart","WebKit","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","4986","TC-20: a visitor can subscribe to the newsletter from the footer","Mobile Safari","2026-09-08","passed","2026-09-08","Engagement","Engagement","",""
"","5758","TC-20: a visitor can subscribe to the newsletter from the footer","WebKit","2026-09-08","passed","2026-09-08","Engagement","Engagement","",""
"","4650","TC-18: the contact form accepts a message with an attachment","Mobile Safari","2026-09-08","passed","2026-09-08","Engagement","Engagement","",""
"","4751","TC-03: signing in with wrong credentials is rejected","Mobile Safari","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","5480","TC-11: filtering by brand lists that brand's products","WebKit","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","12469","TC-04: signing up with an already registered email is rejected","Mobile Safari","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","6287","TC-12: a product added from its detail page appears in the cart","WebKit","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","4966","TC-18: the contact form accepts a message with an attachment","WebKit","2026-09-08","passed","2026-09-08","Engagement","Engagement","",""
"","5522","TC-03: signing in with wrong credentials is rejected","WebKit","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","5666","TC-16: an anonymous visitor cannot reach checkout","WebKit","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","12650","TC-05: a signed-in user can delete their account","WebKit","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","13968","TC-04: signing up with an already registered email is rejected","WebKit","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","17380","TC-17: a signed-in user can complete an order end to end","WebKit","2026-09-08","passed","2026-09-08","Checkout","Checkout","",""
"","6323","TC-16: an anonymous visitor cannot reach checkout","Mobile Safari","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","6914","TC-07: the catalog lists products and one opens its detail page","WebKit","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","6071","TC-15: removing the only product empties the cart","Mobile Safari","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","11847","TC-01: a new visitor can register and lands in the signed-in state","WebKit","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","6554","TC-15: removing the only product empties the cart","WebKit","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","16891","TC-02: a registered user can sign in with valid credentials","WebKit","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","10012","TC-01: a new visitor can register and lands in the signed-in state","Mobile Safari","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","6926","TC-13: a product added from the catalog listing appears in the cart","WebKit","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","5221","TC-09: a search with no matches returns an empty result set","WebKit","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","13700","TC-06: logging out returns the visitor to the anonymous state","WebKit","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","11436","TC-06: logging out returns the visitor to the anonymous state","Mobile Safari","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","5381","TC-09: a search with no matches returns an empty result set","Mobile Safari","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","4956","TC-08: search returns only products matching the term","Mobile Safari","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","6578","TC-08: search returns only products matching the term","WebKit","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","4517","TC-19: a product review can be submitted from the detail page","Mobile Safari","2026-09-08","passed","2026-09-08","Engagement","Engagement","",""
"","14781","TC-17: a signed-in user can complete an order end to end","Mobile Safari","2026-09-08","passed","2026-09-08","Checkout","Checkout","",""
"","12376","TC-02: a registered user can sign in with valid credentials","Mobile Safari","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","6785","TC-10: filtering by category lists that category's products","WebKit","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","11158","TC-05: a signed-in user can delete their account","Mobile Safari","2026-09-08","passed","2026-09-08","Authentication","Authentication","",""
"","5908","TC-13: a product added from the catalog listing appears in the cart","Mobile Safari","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","5678","TC-11: filtering by brand lists that brand's products","Mobile Safari","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
"","5658","TC-14: the quantity set before adding is the quantity in the cart","Mobile Safari","2026-09-08","passed","2026-09-08","Cart","Cart","",""
"","5588","TC-10: filtering by category lists that category's products","Mobile Safari","2026-09-08","passed","2026-09-08","Product browsing","Product browsing","",""
