"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Functional E2E","0","Product browsing","1","0","TC-10: filtering by category lists that category's products","0"
"0","Functional E2E","0","Engagement","1","0","TC-18: the contact form accepts a message with an attachment","0"
"0","Functional E2E","0","Product browsing","1","0","TC-11: filtering by brand lists that brand's products","0"
"0","Functional E2E","0","Checkout","1","0","TC-17: a signed-in user can complete an order end to end","0"
"0","Functional E2E","0","Authentication","1","0","TC-05: a signed-in user can delete their account","0"
"0","Functional E2E","0","Product browsing","1","0","TC-09: a search with no matches returns an empty result set","0"
"0","Functional E2E","0","Cart","1","0","TC-14: the quantity set before adding is the quantity in the cart","0"
"0","Functional E2E","0","Authentication","1","0","TC-01: a new visitor can register and lands in the signed-in state","0"
"0","Functional E2E","0","Product browsing","1","0","TC-08: search returns only products matching the term","0"
"0","Functional E2E","0","Cart","1","0","TC-16: an anonymous visitor cannot reach checkout","0"
"0","Functional E2E","0","Engagement","1","0","TC-20: a visitor can subscribe to the newsletter from the footer","0"
"0","Functional E2E","0","Authentication","1","0","TC-03: signing in with wrong credentials is rejected","0"
"0","Functional E2E","0","Authentication","1","0","TC-06: logging out returns the visitor to the anonymous state","0"
"0","Functional E2E","0","Engagement","1","0","TC-19: a product review can be submitted from the detail page","0"
"0","Functional E2E","0","Product browsing","1","0","TC-07: the catalog lists products and one opens its detail page","0"
"0","Functional E2E","0","Cart","1","0","TC-12: a product added from its detail page appears in the cart","0"
"0","Functional E2E","0","Authentication","1","0","TC-02: a registered user can sign in with valid credentials","0"
"0","Functional E2E","0","Cart","1","0","TC-15: removing the only product empties the cart","0"
"0","Functional E2E","0","Authentication","1","0","TC-04: signing up with an already registered email is rejected","0"
"0","Functional E2E","0","Cart","1","0","TC-13: a product added from the catalog listing appears in the cart","0"
