"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Functional E2E","0","Products Page","2","0","TC-11: The scroll-up control returns the visitor to the top","0"
"0","Functional E2E","0","Checkout Page","2","0","TC-17: A signed-in user can complete an order end to end","0"
"0","Functional E2E","0","Products Page","2","0","TC-08: Search returns only products matching the term","0"
"0","Functional E2E","0","Authentication Page","2","0","TC-03: Signing in with wrong credentials is rejected","0"
"0","Functional E2E","0","Cart Page","2","0","TC-16: An anonymous visitor cannot reach checkout","0"
"0","Functional E2E","0","Products Page","2","0","TC-07: The catalog lists products and one opens its detail page","0"
"0","Functional E2E","0","Authentication Page","2","0","TC-02: A registered user can sign in with valid credentials","0"
"0","Functional E2E","0","Cart Page","2","0","TC-13: A product added from the catalog listing appears in the cart","0"
"0","Functional E2E","0","Contact Page","2","0","TC-18: The contact form accepts a message with an attachment","0"
"0","Functional E2E","0","Home Page","2","0","TC-20: A visitor can subscribe to the newsletter from the footer","0"
"0","Functional E2E","0","Products Page","2","0","TC-10: Filtering by category lists that category's products","0"
"0","Functional E2E","0","Authentication Page","2","0","TC-01: A new visitor can register and lands in the signed-in state","0"
"0","Functional E2E","0","Authentication Page","2","0","TC-04: Signing up with an already registered email is rejected","0"
"0","Functional E2E","0","Products Page","2","0","TC-09: A search with no matches returns an empty result set","0"
"0","Functional E2E","0","Authentication Page","2","0","TC-05: A signed-in user can delete their account","0"
"0","Functional E2E","0","Cart Page","2","0","TC-15: Removing the only product empties the cart","0"
"0","Functional E2E","0","Authentication Page","2","0","TC-06: Logging out returns the visitor to the anonymous state","0"
"0","Functional E2E","0","Cart Page","2","0","TC-12: A product added from its detail page appears in the cart","0"
"0","Functional E2E","0","Cart Page","2","0","TC-14: The quantity set before adding is the quantity in the cart","0"
"0","Functional E2E","0","Product Detail Page","2","0","TC-19: A product review can be submitted from the detail page","0"
