"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12666","TC-04: Signing up with an already registered email is rejected","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","4474","VR-05: Single product card at rest","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","products.vr.spec.ts","Products Page","",""
"","4820","VR-04: Catalog grid","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","products.vr.spec.ts","Products Page","",""
"","4226","TC-19: A product review can be submitted from the detail page","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","product-detail.spec.ts","Product Detail Page","",""
"","4699","VR-07: Catalog area after a search with no matches","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","products.vr.spec.ts","Products Page","",""
"","5833","TC-10: Filtering by category lists that category's products","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","4313","TC-09: A search with no matches returns an empty result set","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","4687","TC-20: A visitor can subscribe to the newsletter from the footer","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","home.spec.ts","Home Page","",""
"","8831","VR-20: Card entry form","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","checkout.vr.spec.ts","Checkout Page","",""
"","5356","TC-12: A product added from its detail page appears in the cart","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","5109","TC-07: The catalog lists products and one opens its detail page","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","5265","TC-13: A product added from the catalog listing appears in the cart","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","13107","TC-17: A signed-in user can complete an order end to end","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","checkout.spec.ts","Checkout Page","",""
"","3932","VR-08: Product information panel","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","product-detail.vr.spec.ts","Product Detail Page","",""
"","8489","TC-04: Signing up with an already registered email is rejected","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","5635","TC-13: A product added from the catalog listing appears in the cart","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","4849","TC-16: An anonymous visitor cannot reach checkout","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","4428","TC-20: A visitor can subscribe to the newsletter from the footer","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","home.spec.ts","Home Page","",""
"","3630","VR-10: Empty cart state","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","cart.vr.spec.ts","Cart Page","",""
"","4704","VR-03: Footer newsletter block","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","home.vr.spec.ts","Home Page","",""
"","5317","TC-08: Search returns only products matching the term","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","5240","VR-11: Cart table holding one product","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","cart.vr.spec.ts","Cart Page","",""
"","5212","TC-16: An anonymous visitor cannot reach checkout","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","5194","TC-11: The scroll-up control returns the visitor to the top","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","4501","TC-15: Removing the only product empties the cart","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","8949","VR-19: Delivery address block","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","checkout.vr.spec.ts","Checkout Page","",""
"","11254","TC-06: Logging out returns the visitor to the anonymous state","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","3759","VR-21: Contact success state","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","contact.vr.spec.ts","Contact Page","",""
"","4815","TC-09: A search with no matches returns an empty result set","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","3979","TC-03: Signing in with wrong credentials is rejected","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","4400","VR-06: Category accordion","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","products.vr.spec.ts","Products Page","",""
"","4068","VR-14: Login form","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","authentication.vr.spec.ts","Authentication Page","",""
"","5535","TC-14: The quantity set before adding is the quantity in the cart","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","4478","TC-07: The catalog lists products and one opens its detail page","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","4179","TC-11: The scroll-up control returns the visitor to the top","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","4894","VR-02: Featured products grid","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","home.vr.spec.ts","Home Page","",""
"","9538","TC-01: A new visitor can register and lands in the signed-in state","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","5256","TC-15: Removing the only product empties the cart","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","6294","TC-01: A new visitor can register and lands in the signed-in state","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","4007","VR-09: Write-a-review form","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","product-detail.vr.spec.ts","Product Detail Page","",""
"","4383","TC-08: Search returns only products matching the term","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","5074","TC-12: A product added from its detail page appears in the cart","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","4430","VR-16: Full registration form","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","authentication.vr.spec.ts","Authentication Page","",""
"","8429","TC-06: Logging out returns the visitor to the anonymous state","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","11702","TC-02: A registered user can sign in with valid credentials","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","10168","TC-05: A signed-in user can delete their account","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","3718","TC-18: The contact form accepts a message with an attachment","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","contact.spec.ts","Contact Page","",""
"","4502","TC-10: Filtering by category lists that category's products","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","products.spec.ts","Products Page","",""
"","4001","VR-18: Contact form","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","contact.vr.spec.ts","Contact Page","",""
"","9761","TC-17: A signed-in user can complete an order end to end","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","checkout.spec.ts","Checkout Page","",""
"","5479","VR-13: Account guard shown to anonymous visitors","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","cart.vr.spec.ts","Cart Page","",""
"","7867","TC-02: A registered user can sign in with valid credentials","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","4298","TC-18: The contact form accepts a message with an attachment","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","contact.spec.ts","Contact Page","",""
"","7037","TC-05: A signed-in user can delete their account","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","4625","TC-14: The quantity set before adding is the quantity in the cart","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","cart.spec.ts","Cart Page","",""
"","5108","VR-12: Add-to-cart confirmation modal","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","cart.vr.spec.ts","Cart Page","",""
"","4519","TC-03: Signing in with wrong credentials is rejected","Functional E2E · WebKit","2026-09-19","passed","2026-09-19","authentication.spec.ts","Authentication Page","",""
"","4676","VR-01: Site header for an anonymous visitor","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","home.vr.spec.ts","Home Page","",""
"","7432","VR-17: Site header for a signed-in user","Visual Regression · Chromium","2026-09-19","passed","2026-09-19","home.vr.spec.ts","Home Page","",""
"","3858","TC-19: A product review can be submitted from the detail page","Functional E2E · Chromium","2026-09-19","passed","2026-09-19","product-detail.spec.ts","Product Detail Page","",""
