"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API","0","Account API","1","0","API-08: Deleting an account removes it, confirmed by a repeat lookup","0"
"0","API","0","Catalog API","1","0","API-15: An unsupported method on the brands list endpoint is rejected","0"
"0","API","0","Account API","1","0","API-18: Updating an account's details succeeds","0"
"0","API","0","Account API","1","0","API-02: Creating an account with a required field missing is rejected","0"
"0","API","0","Account API","1","0","API-03: Creating an account with an already-registered email is rejected","0"
"0","API","0","Account API","1","0","API-07: Looking up a user by email returns their profile","0"
"0","API","0","Account API","1","0","API-16: Verifying login without an email is rejected","0"
"0","API","0","Catalog API","1","0","API-10: The brands list returns every catalog brand","0"
"0","API","0","Catalog API","1","0","API-09: The products list returns every catalog product","0"
"0","API","0","Account API","1","0","API-01: Creating an account with valid data succeeds","0"
"0","API","0","Account API","1","0","API-06: Verifying login with an unregistered email is rejected","0"
"0","API","0","Catalog API","1","0","API-14: An unsupported method on the products list endpoint is rejected","0"
"0","API","0","Account API","1","0","API-17: An unsupported method on the verify login endpoint is rejected","0"
"0","API","0","Catalog API","1","0","API-11: Searching returns only products matching the term","0"
"0","API","0","Account API","1","0","API-05: Verifying login with correct credentials succeeds","0"
"0","API","0","Catalog API","1","0","API-12: Searching without a term is rejected","0"
"0","API","0","Account API","1","0","API-04: An unsupported method on the account endpoint is rejected","0"
"0","API","0","Account API","1","0","API-19: Updating an account with a required field missing is rejected","0"
"0","API","0","Catalog API","1","0","API-13: An unsupported method on the search endpoint is rejected","0"
