"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Visual Regression","0","Signup Page","1","0","VR-17: Account Created confirmation","0"
"0","Visual Regression","0","Signup Page","1","0","VR-14: Account Information form","0"
"0","Visual Regression","0","Product Detail Page","1","0","VR-22: Write Your Review form, default","0"
"0","Visual Regression","0","Product Detail Page","1","0","VR-23: Write Your Review form, validation","0"
"0","Visual Regression","0","Cart Page","1","0","VR-25: Cart, empty","0"
"0","Visual Regression","0","Signup Page","1","0","VR-13: Signup quick form, default","0"
"0","Visual Regression","0","Home Page","1","0","VR-07: Subscription widget","0"
"0","Visual Regression","0","Signup Page","1","0","VR-16: Signup quick form, error","0"
"0","Visual Regression","0","Product Detail Page","1","0","VR-24: Review submitted","0"
"0","Visual Regression","0","Home Page","1","0","VR-05: Featured product card","0"
"0","Visual Regression","0","Home Page","1","0","VR-08: Subscription widget, subscribed","0"
"0","Visual Regression","0","Home Page","1","0","VR-10: Add-to-cart confirmation modal","0"
"0","Visual Regression","0","Home Page","1","0","VR-04: Brands sidebar","0"
"0","Visual Regression","0","Cart Page","1","0","VR-26: Cart, with a product","0"
"0","Visual Regression","0","Home Page","1","0","VR-01: Hero section","0"
"0","Visual Regression","0","Payment Page","1","0","VR-32: Payment form, validation","0"
"0","Visual Regression","0","Confirmation Page","1","0","VR-33: Order confirmation","0"
"0","Visual Regression","0","Product Detail Page","1","0","VR-21: Product showcase","0"
"0","Visual Regression","0","Payment Page","1","0","VR-31: Payment form, filled","0"
"0","Visual Regression","0","Products Page","1","0","VR-18: Special offer banner","0"
"0","Visual Regression","0","Cart Page","1","0","VR-27: Checkout guard modal","0"
"0","Visual Regression","0","Home Page","1","0","VR-09: Footer bar","0"
"0","Visual Regression","0","Checkout Page","1","0","VR-29: Order review block","0"
"0","Visual Regression","0","Home Page","1","0","VR-03: Category sidebar, expanded","0"
"0","Visual Regression","0","Login Page","1","0","VR-11: Login form, default","0"
"0","Visual Regression","0","Payment Page","1","0","VR-30: Payment form, default","0"
"0","Visual Regression","0","Checkout Page","1","0","VR-28: Address details","0"
"0","Visual Regression","0","Home Page","1","0","VR-02: Category sidebar","0"
"0","Visual Regression","0","Products Page","1","0","VR-19: Search results, matching","0"
"0","Visual Regression","0","Home Page","1","0","VR-06: Recommended items section","0"
"0","Visual Regression","0","Signup Page","1","0","VR-15: Address Information form","0"
"0","Visual Regression","0","Products Page","1","0","VR-20: Search results, empty","0"
"0","Visual Regression","0","Login Page","1","0","VR-12: Login form, error","0"
