"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Visual regression","0","Products","1","0","VR-05: single product card at rest","0"
"0","Visual regression","0","Cart","1","0","VR-11: cart table holding one product","0"
"0","Visual regression","0","Authentication","1","0","VR-14: login form","0"
"0","Visual regression","0","Products","1","0","VR-04: catalog grid","0"
"0","Visual regression","0","Cart","1","0","VR-12: add-to-cart confirmation modal","0"
"0","Visual regression","0","Authentication","1","0","VR-16: full registration form","0"
"0","Visual regression","0","Authentication","1","0","VR-15: signup entry form","0"
"0","Visual regression","0","Home","1","0","VR-02: featured products grid","0"
"0","Visual regression","0","Products","1","0","VR-07: catalog area after a search with no matches","0"
"0","Visual regression","0","Home","1","0","VR-03: footer newsletter block","0"
"0","Visual regression","0","Cart","1","0","VR-10: empty cart state","0"
"0","Visual regression","0","Home","1","0","VR-01: site header for an anonymous visitor","0"
"0","Visual regression","0","Product detail","1","0","VR-09: write-a-review form","0"
"0","Visual regression","0","Authentication","1","0","VR-17: site header for a signed-in user","0"
"0","Visual regression","0","Product detail","1","0","VR-08: product information panel","0"
"0","Visual regression","0","Checkout","1","0","VR-20: card entry form","0"
"0","Visual regression","0","Products","1","0","VR-06: category accordion","0"
"0","Visual regression","0","Contact","1","0","VR-18: contact form","0"
"0","Visual regression","0","Cart","1","0","VR-13: account guard shown to anonymous visitors","0"
"0","Visual regression","0","Checkout","1","0","VR-19: delivery address block","0"
