"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8737","VR-17: site header for a signed-in user","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - authentication","Authentication","",""
"","8765","VR-15: signup entry form","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - authentication","Authentication","",""
"","8721","VR-02: featured products grid","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - home","Home","",""
"","8717","VR-03: footer newsletter block","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - home","Home","",""
"","8740","VR-05: single product card at rest","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - products","Products","",""
"","8742","VR-10: empty cart state","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - cart","Cart","",""
"","8751","VR-08: product information panel","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - product detail","Product detail","",""
"","8733","VR-12: add-to-cart confirmation modal","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - cart","Cart","",""
"","8732","VR-20: card entry form","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - checkout","Checkout","",""
"","8761","VR-04: catalog grid","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - products","Products","",""
"","8740","VR-16: full registration form","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - authentication","Authentication","",""
"","8759","VR-09: write-a-review form","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - product detail","Product detail","",""
"","8767","VR-07: catalog area after a search with no matches","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - products","Products","",""
"","8737","VR-06: category accordion","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - products","Products","",""
"","8743","VR-13: account guard shown to anonymous visitors","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - cart","Cart","",""
"","8763","VR-19: delivery address block","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - checkout","Checkout","",""
"","8735","VR-01: site header for an anonymous visitor","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - home","Home","",""
"","8741","VR-18: contact form","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - contact","Contact","",""
"","8764","VR-11: cart table holding one product","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - cart","Cart","",""
"","9035","VR-14: login form","Visual regression","2026-09-09","failed","2026-09-09","Visual regression - authentication","Authentication","",""
